seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
A0A059UGE7,331,427,324,428,PF13426.7,LOV,Domain,7,103,104,69.9,1.9E-19,1,CL0183,Eukaryota Viridiplantae
A0A059UGE7,633,725,624,728,PF13426.7,LOV,Domain,9,101,104,65,6.1E-18,1,CL0183,Eukaryota Viridiplantae
A0A059UGE7,813,1099,811,1099,PF00069.25,Pkinase,Domain,3,264,264,204.9,1.4E-60,1,CL0016,Eukaryota Viridiplantae
A0A126X477,32,128,24,311,PF13426.7,TLOV,Domain,7,103,104,78,5.5E-22,1,CL0183,Eukaryota Viridiplantae
A0A126X477,397,702,396,702,PF00069.25,Pkinase,Domain,2,264,264,203.3,4.2E-60,1,CL0016,Eukaryota Viridiplantae
A0A126X2S3,210,306,203,307,PF13426.7,LOV,Domain,7,103,104,70.1,1.5E-19,1,CL0183,Eukaryota Viridiplantae
A0A126X2S3,494,586,485,589,PF13426.7,LOV,Domain,9,101,104,74.4,7.1E-21,1,CL0183,Eukaryota Viridiplantae
A0A126X2S3,674,958,672,958,PF00069.25,Pkinase,Domain,3,264,264,208.2,1.4E-61,1,CL0016,Eukaryota Viridiplantae
A0A126X1R9,42,152,42,153,PF13426.7,LOV,Domain,1,99,104,57.6,1.2E-15,1,CL0183,Eukaryota Viridiplantae
A0A126X1R9,294,344,293,344,PF13418.6,Kelch_4,Repeat,2,49,49,42.6,4.5E-11,1,CL0186,Eukaryota Viridiplantae
A0A126X1R9,358,405,356,406,PF13415.6,Kelch_3,Domain,3,48,49,38.2,1.2E-09,1,CL0186,Eukaryota Viridiplantae
A0A126X1R9,410,459,408,459,PF13415.6,Kelch_3,Domain,3,49,49,23.8,0.00004,1,CL0186,Eukaryota Viridiplantae
A0A126X1R9,516,565,516,569,PF13418.6,Kelch_4,Repeat,1,45,49,26.5,0.0000047,1,CL0186,Eukaryota Viridiplantae
A0A126X443,149,257,147,258,PF13426.7,LOV,Domain,3,99,104,55.2,6.8E-15,1,CL0183,Eukaryota Viridiplantae
A0A126X443,309,353,308,355,PF00646.33,F-box,Domain,3,46,48,20.9,0.00023,1,CL0271,Eukaryota Viridiplantae
A0A126X443,405,455,404,455,PF13418.6,Kelch_4,Repeat,2,49,49,35.6,6.8E-09,1,CL0186,Eukaryota Viridiplantae
A0A126X443,470,516,469,517,PF13415.6,Kelch_3,Domain,4,48,49,36.2,0.000000005,1,CL0186,Eukaryota Viridiplantae
A0A126X443,620,672,620,673,PF13418.6,Kelch_4,Repeat,1,48,49,24.8,0.000017,1,CL0186,Eukaryota Viridiplantae
A0A126X1B4,76,176,71,176,PF13426.7,LOV,Domain,6,104,104,67.8,8.1E-19,1,CL0183,Eukaryota Viridiplantae
A0A126X1B4,328,422,317,423,PF13426.7,LOV,Domain,9,103,104,65.3,4.9E-18,1,CL0183,Eukaryota Viridiplantae
A0A126X1B4,508,662,506,668,PF00069.25,Pkinase,Domain,3,154,264,129.1,1.9E-37,1,CL0016,Eukaryota Viridiplantae
A0A126X1B4,714,821,709,821,PF00069.25,Pkinase,Domain,150,264,264,79.8,2E-22,1,CL0016,Eukaryota Viridiplantae
A0A059UB16,201,297,194,298,PF13426.7,LOV,Domain,7,103,104,70.6,1.1E-19,1,CL0183,Eukaryota Viridiplantae
A0A059UB16,485,580,476,580,PF13426.7,LOV,Domain,9,104,104,76.5,1.6E-21,1,CL0183,Eukaryota Viridiplantae
A0A059UB16,664,950,662,950,PF00069.25,Pkinase,Domain,3,264,264,198.2,1.6E-58,1,CL0016,Eukaryota Viridiplantae
A0A126X0A0,46,145,44,148,PF13426.7,LOV,Domain,3,99,104,64.2,1.1E-17,1,CL0183,Eukaryota Viridiplantae
A0A087GUA1,33,125,25,128,PF13426.7,LOV,Domain,9,100,104,51.5,9.9E-14,1,CL0183,Eukaryota Viridiplantae
A0A087GUA1,236,331,228,334,PF13426.7,PAS_9,Domain,7,100,104,53.5,2.3E-14,1,CL0183,Eukaryota Viridiplantae
A0A087GUA1,449,542,441,545,PF13426.7,LOV,Domain,7,100,104,63,2.6E-17,1,CL0183,Eukaryota Viridiplantae
A0A126WZI3,37,146,37,148,PF13426.7,LOV,Domain,1,98,104,59.1,4.1E-16,1,CL0183,Eukaryota Viridiplantae
A0A126WZI3,205,243,202,244,PF12937.7,F-box-like,Domain,8,47,48,28.3,0.0000012,1,CL0271,Eukaryota Viridiplantae
A0A126WZI3,293,343,292,343,PF13418.6,Kelch_4,Repeat,2,49,49,44.5,1.2E-11,1,CL0186,Eukaryota Viridiplantae
A0A126WZI3,358,404,357,405,PF13415.6,Kelch_3,Domain,4,48,49,36.3,4.9E-09,1,CL0186,Eukaryota Viridiplantae
A0A126WW34,104,200,96,201,PF13426.7,LOV,Domain,7,103,104,72.5,2.7E-20,1,CL0183,Eukaryota Viridiplantae
A0A126X012,29,129,28,132,PF13426.7,LOV,Domain,2,98,104,56,3.8E-15,1,CL0183,Eukaryota Viridiplantae
A0A126X012,258,351,255,358,PF13426.7,PAS_9,Domain,4,94,104,61.1,9.8E-17,1,CL0183,Eukaryota Viridiplantae
A0A126X0G0,44,154,44,155,PF13426.7,LOV,Domain,1,99,104,60.2,1.9E-16,1,CL0183,Eukaryota Viridiplantae
A0A126X0G0,213,251,210,252,PF12937.7,F-box-like,Domain,8,47,48,28.8,0.00000084,1,CL0271,Eukaryota Viridiplantae
A0A126X0G0,301,351,300,351,PF13418.6,Kelch_4,Repeat,2,49,49,43.7,1.9E-11,1,CL0186,Eukaryota Viridiplantae
A0A126X0G0,363,412,363,413,PF13415.6,Kelch_3,Domain,1,48,49,43.5,2.7E-11,1,CL0186,Eukaryota Viridiplantae
A0A126X0G0,458,509,458,509,PF07646.15,Kelch_2,Repeat,1,49,49,24.5,0.000018,1,CL0186,Eukaryota Viridiplantae
A0A126X0G0,525,572,523,572,PF07646.15,Kelch_2,Repeat,2,49,49,22.7,0.000065,1,CL0186,Eukaryota Viridiplantae
A0A126WY94,123,219,116,220,PF13426.7,LOV,Domain,7,103,104,70,1.7E-19,1,CL0183,Eukaryota Viridiplantae
A0A126WY94,400,492,391,495,PF13426.7,LOV,Domain,9,101,104,74.5,6.7E-21,1,CL0183,Eukaryota Viridiplantae
A0A126WY94,580,863,578,863,PF00069.25,Pkinase,Domain,3,264,264,209.8,4.5E-62,1,CL0016,Eukaryota Viridiplantae
A0A126X3U1,39,148,39,150,PF13426.7,LOV,Domain,1,98,104,51.4,1.1E-13,1,CL0183,Eukaryota Viridiplantae
A0A126X3U1,208,246,205,247,PF12937.7,F-box-like,Domain,8,47,48,32.6,0.000000054,1,CL0271,Eukaryota Viridiplantae
A0A126X3U1,296,339,295,346,PF13418.6,Kelch_4,Repeat,2,44,49,41.4,1E-10,1,CL0186,Eukaryota Viridiplantae
A0A126X3U1,347,399,347,400,PF13418.6,Kelch_4,Repeat,1,48,49,40.5,2E-10,1,CL0186,Eukaryota Viridiplantae
A0A126X3U1,453,504,453,504,PF07646.15,Kelch_2,Repeat,1,49,49,24,0.000026,1,CL0186,Eukaryota Viridiplantae
A0A126X3U1,520,567,518,567,PF07646.15,Kelch_2,Repeat,2,49,49,23.2,0.000047,1,CL0186,Eukaryota Viridiplantae
A0A126WXC7,154,254,145,256,PF13426.7,LOV,Domain,7,98,104,54.3,1.3E-14,1,CL0183,Eukaryota Viridiplantae
A0A126WXC7,307,351,306,353,PF00646.33,F-box,Domain,3,46,48,21.6,0.00014,1,CL0271,Eukaryota Viridiplantae
A0A126WXC7,403,453,402,453,PF13418.6,Kelch_4,Repeat,2,49,49,38.6,7.9E-10,1,CL0186,Eukaryota Viridiplantae
A0A126WXC7,468,514,467,515,PF13415.6,Kelch_3,Domain,4,48,49,36.7,3.5E-09,1,CL0186,Eukaryota Viridiplantae
A0A126WXC7,618,670,618,671,PF13418.6,Kelch_4,Repeat,1,48,49,22.3,0.0001,1,CL0186,Eukaryota Viridiplantae
A0A126WYI5,45,137,36,139,PF13426.7,LOV,Domain,9,101,104,74.2,8.1E-21,1,CL0183,Eukaryota Viridiplantae
A0A126WYI5,225,509,223,509,PF00069.25,Pkinase,Domain,3,264,264,207.2,2.7E-61,1,CL0016,Eukaryota Viridiplantae
A0A126X2T4,108,200,100,413,PF13426.7,TLOV,Domain,9,100,104,69.6,2.2E-19,1,CL0183,Eukaryota Viridiplantae
A0A126X090,207,302,199,303,PF13426.7,LOV,Domain,8,103,104,72.3,3.3E-20,1,CL0183,Eukaryota Viridiplantae
A0A126X090,480,572,471,575,PF13426.7,LOV,Domain,9,101,104,68.3,5.8E-19,1,CL0183,Eukaryota Viridiplantae
A0A126X090,660,945,658,945,PF00069.25,Pkinase,Domain,3,264,264,216.5,4.1E-64,1,CL0016,Eukaryota Viridiplantae
A0A126X361,48,144,44,147,PF13426.7,LOV,Domain,5,97,104,47.1,2.3E-12,1,CL0183,Eukaryota Viridiplantae
A0A126X361,295,396,292,398,PF13426.7,LOV,Domain,4,102,104,63.3,2.1E-17,1,CL0183,Eukaryota Viridiplantae
A0A059UFB1,239,335,232,336,PF13426.7,LOV,Domain,7,103,104,73.2,1.7E-20,1,CL0183,Eukaryota Viridiplantae
A0A059UFB1,513,605,503,608,PF13426.7,LOV,Domain,9,101,104,67.5,1E-18,1,CL0183,Eukaryota Viridiplantae
A0A059UFB1,694,984,692,984,PF00069.25,Pkinase,Domain,3,264,264,202.5,7.7E-60,1,CL0016,Eukaryota Viridiplantae
A0A126WVS6,47,141,35,356,PF13426.7,TLOV,Domain,10,103,104,67.9,7.5E-19,1,CL0183,Eukaryota Viridiplantae
A0A126X4W7,69,178,69,180,PF13426.7,LOV,Domain,1,98,104,57.6,1.2E-15,1,CL0183,Eukaryota Viridiplantae
A0A126X4W7,231,276,230,277,PF00646.33,F-box,Domain,3,47,48,25.1,0.000012,1,CL0271,Eukaryota Viridiplantae
A0A126X4W7,336,385,336,387,PF13415.6,Kelch_3,Domain,1,47,49,38,1.4E-09,1,CL0186,Eukaryota Viridiplantae
A0A126X4W7,390,438,389,439,PF13415.6,Kelch_3,Domain,2,48,49,34,0.000000026,1,CL0186,Eukaryota Viridiplantae
A0A126X4W7,549,601,549,602,PF13418.6,Kelch_4,Repeat,1,48,49,25.1,0.000013,1,CL0186,Eukaryota Viridiplantae
A0A126WXB5,288,384,281,385,PF13426.7,LOV,Domain,7,103,104,63.6,1.6E-17,1,CL0183,Eukaryota Viridiplantae
A0A126WXB5,564,656,555,659,PF13426.7,LOV,Domain,9,101,104,70.3,1.4E-19,1,CL0183,Eukaryota Viridiplantae
A0A126WXB5,743,1028,742,1028,PF00069.25,Pkinase,Domain,2,264,264,222.6,5.7E-66,1,CL0016,Eukaryota Viridiplantae
A0A126WY26,48,158,48,161,PF13426.7,LOV,Domain,1,99,104,58.1,8.7E-16,1,CL0183,Eukaryota Viridiplantae
A0A126WY26,216,254,213,255,PF12937.7,F-box-like,Domain,8,47,48,32.9,0.000000045,1,CL0271,Eukaryota Viridiplantae
A0A126WY26,304,354,303,354,PF13418.6,Kelch_4,Repeat,2,49,49,43.5,2.4E-11,1,CL0186,Eukaryota Viridiplantae
A0A126WY26,368,415,366,416,PF13415.6,Kelch_3,Domain,3,48,49,44.1,1.8E-11,1,CL0186,Eukaryota Viridiplantae
A0A126WY26,461,512,461,512,PF07646.15,Kelch_2,Repeat,1,49,49,21.5,0.00016,1,CL0186,Eukaryota Viridiplantae
A0A126WY26,528,575,526,575,PF07646.15,Kelch_2,Repeat,2,49,49,23.3,0.000044,1,CL0186,Eukaryota Viridiplantae
A0A126X1C4,1,82,1,82,PF13426.7,PAS_9,Domain,23,104,104,55.4,5.7E-15,1,CL0183,Eukaryota Viridiplantae
A0A126X1C4,265,357,256,360,PF13426.7,LOV,Domain,9,101,104,75,4.7E-21,1,CL0183,Eukaryota Viridiplantae
A0A126X1C4,445,729,443,729,PF00069.25,Pkinase,Domain,3,264,264,204.6,1.7E-60,1,CL0016,Eukaryota Viridiplantae
A0A061S5M9,32,128,23,295,PF13426.7,TLOV,Domain,7,103,104,76.1,2.2E-21,1,CL0183,Eukaryota Viridiplantae
A0A061S5M9,406,501,396,502,PF13426.7,PAS_9,Domain,8,103,104,40,3.7E-10,1,CL0183,Eukaryota Viridiplantae
A0A061S5M9,573,715,571,728,PF00069.25,Pkinase,Domain,3,145,264,107.6,6.8E-31,1,CL0016,Eukaryota Viridiplantae
A0A061S5M9,781,887,771,887,PF00069.25,Pkinase,Domain,151,264,264,76.6,2E-21,1,CL0016,Eukaryota Viridiplantae
A0A126X511,215,311,208,312,PF13426.7,LOV,Domain,7,103,104,68.5,5E-19,1,CL0183,Eukaryota Viridiplantae
A0A126X511,490,582,481,585,PF13426.7,LOV,Domain,9,101,104,73.9,1E-20,1,CL0183,Eukaryota Viridiplantae
A0A126X511,670,955,668,955,PF00069.25,Pkinase,Domain,3,264,264,214,2.3E-63,1,CL0016,Eukaryota Viridiplantae
A0A126WW80,332,428,325,429,PF13426.7,LOV,Domain,7,103,104,73,1.9E-20,1,CL0183,Eukaryota Viridiplantae
A0A126WW80,606,698,596,701,PF13426.7,LOV,Domain,9,101,104,67.3,1.2E-18,1,CL0183,Eukaryota Viridiplantae
A0A126WW80,787,1077,785,1077,PF00069.25,Pkinase,Domain,3,264,264,202.3,9E-60,1,CL0016,Eukaryota Viridiplantae
A0A126WZJ9,89,178,79,181,PF13426.7,LOV,Domain,11,99,104,52.5,4.9E-14,1,CL0183,Eukaryota Viridiplantae
A0A126WZJ9,296,395,294,397,PF13426.7,PAS_9,Domain,3,99,104,62.2,4.4E-17,1,CL0183,Eukaryota Viridiplantae
A0A126WWK7,66,155,53,372,PF13426.7,TLOV,Domain,11,99,104,54.5,1.1E-14,1,CL0183,Eukaryota Viridiplantae
A0A126X0L7,89,189,84,189,PF13426.7,LOV,Domain,6,104,104,71.8,4.8E-20,1,CL0183,Eukaryota Viridiplantae
A0A126X0L7,389,484,380,484,PF13426.7,LOV,Domain,9,104,104,76.7,1.4E-21,1,CL0183,Eukaryota Viridiplantae
A0A126X0L7,569,855,567,855,PF00069.25,Pkinase,Domain,3,264,264,214.9,1.2E-63,1,CL0016,Eukaryota Viridiplantae
A0A126X245,196,292,189,293,PF13426.7,LOV,Domain,7,103,104,65.7,3.6E-18,1,CL0183,Eukaryota Viridiplantae
A0A126X245,472,564,463,567,PF13426.7,LOV,Domain,9,101,104,74.5,6.6E-21,1,CL0183,Eukaryota Viridiplantae
A0A126X245,653,936,650,936,PF00069.25,Pkinase,Domain,4,264,264,204.5,1.8E-60,1,CL0016,Eukaryota Viridiplantae
A0A126WZR9,63,173,63,174,PF13426.7,LOV,Domain,1,99,104,57,1.9E-15,1,CL0183,Eukaryota Viridiplantae
A0A126WZR9,232,270,224,271,PF12937.7,F-box-like,Domain,8,47,48,30.1,0.00000033,1,CL0271,Eukaryota Viridiplantae
A0A126WZR9,320,370,319,370,PF13418.6,Kelch_4,Repeat,2,49,49,42.5,4.9E-11,1,CL0186,Eukaryota Viridiplantae
A0A126WZR9,384,431,382,432,PF13415.6,Kelch_3,Domain,3,48,49,44.5,1.3E-11,1,CL0186,Eukaryota Viridiplantae
A0A126WZR9,477,528,477,528,PF07646.15,Kelch_2,Repeat,1,49,49,24.5,0.000019,1,CL0186,Eukaryota Viridiplantae
A0A126WZR9,544,591,542,591,PF07646.15,Kelch_2,Repeat,2,49,49,23.2,0.000045,1,CL0186,Eukaryota Viridiplantae
A0A126WY32,97,185,85,187,PF13426.7,LOV,Domain,11,98,104,59.8,2.6E-16,1,CL0183,Eukaryota Viridiplantae
A0A126WXR4,189,284,179,284,PF13426.7,LOV,Domain,9,104,104,73.6,1.3E-20,1,CL0183,Eukaryota Viridiplantae
A0A126WXR4,363,647,360,647,PF00069.25,Pkinase,Domain,4,264,264,210.5,2.8E-62,1,CL0016,Eukaryota Viridiplantae
A0A126WXV0,69,170,60,171,PF13426.7,LOV,Domain,7,99,104,58.4,6.7E-16,1,CL0183,Eukaryota Viridiplantae
A0A126WXV0,313,363,312,363,PF13418.6,Kelch_4,Repeat,2,49,49,43.3,2.6E-11,1,CL0186,Eukaryota Viridiplantae
A0A126WXV0,378,424,377,425,PF13415.6,Kelch_3,Domain,4,48,49,39.5,4.8E-10,1,CL0186,Eukaryota Viridiplantae
A0A126WXV0,427,478,427,478,PF13415.6,Kelch_3,Domain,1,49,49,29.7,0.00000055,1,CL0186,Eukaryota Viridiplantae
A0A126WXV0,537,584,536,584,PF07646.15,Kelch_2,Repeat,2,49,49,23.2,0.000046,1,CL0186,Eukaryota Viridiplantae
A0A126WVP3,26,121,18,122,PF13426.7,LOV,Domain,8,103,104,67.1,1.4E-18,1,CL0183,Eukaryota Viridiplantae
A0A126WVP3,320,412,311,415,PF13426.7,LOV,Domain,9,101,104,65.8,3.5E-18,1,CL0183,Eukaryota Viridiplantae
A0A126WVP3,501,788,498,788,PF00069.25,Pkinase,Domain,4,264,264,213.1,4.3E-63,1,CL0016,Eukaryota Viridiplantae
A0A126WWE7,45,152,42,153,PF13426.7,LOV,Domain,4,99,104,52.5,4.8E-14,1,CL0183,Eukaryota Viridiplantae
