,seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
0,M0TGC4,170,266,162,267,PF13426.7,PAS_9,Domain,7,103,104,58.9,4.9e-16,1,CL0183,Eukaryota Viridiplantae
1,M0TGC4,452,544,443,547,PF13426.7,PAS_9,Domain,9,101,104,73.1,1.9e-20,1,CL0183,Eukaryota Viridiplantae
2,M0TGC4,633,918,630,918,PF00069.25,Pkinase,Domain,4,264,264,212.2,8.3e-63,1,CL0016,Eukaryota Viridiplantae
3,M0KWF6,10,115,10,121,PF00072.24,Response_reg,Domain,1,105,112,70.0,1.8e-19,1,CL0304,Archaea Euryarchaeota
4,M0KWF6,149,246,148,246,PF13426.7,PAS_9,Domain,2,104,104,39.1,7e-10,1,CL0183,Archaea Euryarchaeota
5,M0KWF6,267,371,265,371,PF13426.7,PAS_9,Domain,3,104,104,81.6,4.2e-23,1,CL0183,Archaea Euryarchaeota
6,M0KWF6,393,524,392,525,PF13185.6,GAF_2,Domain,2,137,138,47.9,1.6e-12,1,CL0161,Archaea Euryarchaeota
7,M0KWF6,547,606,546,607,PF00512.25,HisKA,Domain,2,66,67,42.2,6e-11,1,CL0025,Archaea Euryarchaeota
8,M0KWF6,645,741,644,743,PF02518.26,HATPase_c,Domain,2,107,112,63.7,2e-17,1,CL0025,Archaea Euryarchaeota
9,W8FYW6,26,131,25,131,PF13426.7,PAS_9,Domain,2,104,104,78.6,3.5e-22,1,CL0183,Bacteria Proteobacteria
10,X1JIM7,34,138,32,138,PF13426.7,PAS_9,Domain,3,104,104,78.1,5e-22,1,CL0183,unclassified sequences metagenomes
11,X1JIM7,177,246,177,247,PF07568.12,HisKA_2,Domain,1,70,76,82.3,1.9e-23,1,CL0025,unclassified sequences metagenomes
12,V9V5A6,16,120,15,121,PF13426.7,PAS_9,Domain,2,103,104,79.5,1.8e-22,1,CL0183,Bacteria Proteobacteria
13,Q5V5P7,21,116,15,123,PF00072.24,Response_reg,Domain,7,101,112,56.9,2e-15,1,CL0304,Archaea Euryarchaeota
14,Q5V5P7,156,265,156,265,PF08448.10,PAS_4,Domain,1,110,110,36.5,4.8e-09,1,CL0183,Archaea Euryarchaeota
15,Q5V5P7,281,387,281,387,PF13426.7,PAS_9,Domain,1,104,104,78.6,3.7e-22,1,CL0183,Archaea Euryarchaeota
16,Q5V5P7,406,513,406,513,PF08448.10,PAS_4,Domain,1,110,110,47.1,2.3e-12,1,CL0183,Archaea Euryarchaeota
17,Q5V5P7,525,584,524,585,PF00512.25,HisKA,Domain,2,66,67,54.9,6.4e-15,1,CL0025,Archaea Euryarchaeota
18,Q5V5P7,623,719,622,723,PF02518.26,HATPase_c,Domain,2,107,112,64.4,1.2e-17,1,CL0025,Archaea Euryarchaeota
19,M2UPJ8,16,121,15,121,PF13426.7,PAS_9,Domain,2,104,104,78.1,5.2e-22,1,CL0183,Bacteria Proteobacteria
20,K9QT62,99,214,76,225,PF03924.13,CHASE,Domain,47,179,188,51.7,1e-13,1,CL0165,Bacteria Cyanobacteria
21,K9QT62,343,426,342,428,PF08447.12,PAS_3,Domain,2,87,89,47.1,2.2e-12,1,CL0183,Bacteria Cyanobacteria
22,K9QT62,453,558,452,558,PF13426.7,PAS_9,Domain,2,104,104,76.6,1.5e-21,1,CL0183,Bacteria Cyanobacteria
23,K9QT62,578,680,578,680,PF13426.7,PAS_9,Domain,2,104,104,58.0,9.1e-16,1,CL0183,Bacteria Cyanobacteria
24,K9QT62,700,808,699,808,PF08448.10,PAS_4,Domain,2,110,110,44.0,2.1e-11,1,CL0183,Bacteria Cyanobacteria
25,K9QT62,835,978,835,978,PF01590.26,GAF,Domain,1,133,133,52.4,8.1e-14,1,CL0161,Bacteria Cyanobacteria
26,K9QT62,1014,1079,1014,1079,PF00512.25,HisKA,Domain,1,67,67,68.2,4.8e-19,1,CL0025,Bacteria Cyanobacteria
27,K9QT62,1126,1232,1126,1266,PF02518.26,HATPase_c,Domain,1,98,112,88.7,3.5e-25,1,CL0025,Bacteria Cyanobacteria
28,K9QT62,1290,1400,1289,1402,PF00072.24,Response_reg,Domain,2,110,112,77.8,6.6e-22,1,CL0304,Bacteria Cyanobacteria
29,K9QT62,1434,1544,1434,1545,PF00072.24,Response_reg,Domain,1,111,112,91.0,5.1e-26,1,CL0304,Bacteria Cyanobacteria
30,K9QT62,1621,1699,1621,1707,PF01627.23,Hpt,Family,1,80,85,41.7,1.1e-10,1,No_clan,Bacteria Cyanobacteria
31,W5EEA7,70,170,62,172,PF13426.7,PAS_9,Domain,7,98,104,52.1,6.3e-14,1,CL0183,Eukaryota Viridiplantae
32,W5EEA7,220,262,219,266,PF00646.33,F-box,Domain,3,44,48,22.8,6.3e-05,1,CL0271,Eukaryota Viridiplantae
33,W5EEA7,314,364,313,364,PF13418.6,Kelch_4,Repeat,2,49,49,41.6,8.9e-11,1,CL0186,Eukaryota Viridiplantae
34,W5EEA7,379,425,378,426,PF13415.6,Kelch_3,Domain,4,48,49,39.0,6.6e-10,1,CL0186,Eukaryota Viridiplantae
35,W5EEA7,434,472,428,472,PF13415.6,Kelch_3,Domain,13,49,49,22.4,0.00011,1,CL0186,Eukaryota Viridiplantae
36,W5EEA7,523,575,523,576,PF13418.6,Kelch_4,Repeat,1,48,49,23.8,3.3e-05,1,CL0186,Eukaryota Viridiplantae
