seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
A0A0N8HZB1,28,131,28,139,PF00072.24,Response_reg,Domain,1,103,112,71.9,4.5E-20,1,CL0304,Archaea Euryarchaeota
A0A0N8HZB1,167,262,166,263,PF13426.7,PAS_9,Domain,2,103,104,40.7,2.2E-10,1,CL0183,Archaea Euryarchaeota
A0A0N8HZB1,285,388,282,388,PF13426.7,LOV,Domain,4,104,104,69,3.5E-19,1,CL0183,Archaea Euryarchaeota
A0A0N8HZB1,404,453,402,461,PF00512.25,HisKA,Domain,3,57,67,30,0.0000004,1,CL0025,Archaea Euryarchaeota
A0A0N8HZB1,502,602,501,604,PF02518.26,HATPase_c,Domain,2,109,112,52.6,5.4E-14,1,CL0025,Archaea Euryarchaeota
A0A0D6JLL4,19,122,19,133,PF00072.24,Response_reg,Domain,1,101,112,49,5.7E-13,1,CL0304,Archaea Euryarchaeota
A0A0D6JLL4,168,273,168,274,PF13426.7,LOV,Domain,1,103,104,81.7,4E-23,1,CL0183,Archaea Euryarchaeota
A0A0D6JLL4,298,397,297,397,PF13426.7,PAS_9,Domain,2,104,104,44.1,1.9E-11,1,CL0183,Archaea Euryarchaeota
A0A0D6JLL4,412,468,411,471,PF00512.25,HisKA,Domain,2,63,67,41.9,7.5E-11,1,CL0025,Archaea Euryarchaeota
A0A0D6JLL4,510,649,509,649,PF02518.26,HATPase_c,Domain,2,109,112,54.5,1.4E-14,1,CL0025,Archaea Euryarchaeota
A0A179ED79,34,174,33,175,PF01590.26,GAF,Domain,2,132,133,42.7,8.2E-11,1,CL0161,Archaea Euryarchaeota
A0A179ED79,199,309,198,310,PF08448.10,PAS_4,Domain,2,109,110,37.4,2.4E-09,1,CL0183,Archaea Euryarchaeota
A0A179ED79,328,432,326,432,PF13426.7,LOV,Domain,3,104,104,78.9,2.9E-22,1,CL0183,Archaea Euryarchaeota
A0A179ED79,550,649,545,651,PF02518.26,HATPase_c,Domain,8,110,112,39.3,7.7E-10,1,CL0025,Archaea Euryarchaeota
A0A0P7GMF2,150,255,149,255,PF13426.7,LOV,Domain,2,104,104,62.3,4.2E-17,1,CL0183,Archaea Euryarchaeota
A0A0W1R5N1,26,118,23,129,PF13426.7,PAS_9,Domain,4,84,104,22.1,0.00013,1,CL0183,Archaea Euryarchaeota
A0A0W1R5N1,164,260,155,260,PF13426.7,LOV,Domain,8,104,104,89.3,1.7E-25,1,CL0183,Archaea Euryarchaeota
A0A0W1R5N1,297,439,295,440,PF13185.6,GAF_2,Domain,3,137,138,35.3,0.000000013,1,CL0161,Archaea Euryarchaeota
A0A0W1R5N1,453,605,451,606,PF15915.5,BAT,Domain,3,155,156,149.6,6.2E-44,1,No_clan,Archaea Euryarchaeota
A0A0W1R5N1,612,663,612,664,PF04967.12,HTH_10,Domain,1,52,53,61,6.7E-17,1,CL0123,Archaea Euryarchaeota
A0A0F8AUJ6,7,114,7,120,PF00072.24,Response_reg,Domain,1,108,112,74.1,9.3E-21,1,CL0304,Archaea Euryarchaeota
A0A0F8AUJ6,135,247,134,247,PF00989.25,PAS,Domain,2,113,113,37.7,1.7E-09,1,CL0183,Archaea Euryarchaeota
A0A0F8AUJ6,268,374,268,374,PF13426.7,LOV,Domain,1,104,104,84.2,6.6E-24,1,CL0183,Archaea Euryarchaeota
A0A0F8AUJ6,390,449,388,450,PF00512.25,HisKA,Domain,3,66,67,35.2,9.1E-09,1,CL0025,Archaea Euryarchaeota
A0A0F8AUJ6,488,598,487,603,PF02518.26,HATPase_c,Domain,2,106,112,49.2,6.3E-13,1,CL0025,Archaea Euryarchaeota
A0A0B5GPH3,18,120,15,127,PF00072.24,Response_reg,Domain,4,105,112,60,2.2E-16,1,CL0304,Archaea Euryarchaeota
A0A0B5GPH3,156,265,156,265,PF08448.10,PAS_4,Domain,1,110,110,39.6,5E-10,1,CL0183,Archaea Euryarchaeota
