seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
A0A061HDL2,350,454,339,456,PF13426.7,LOV,Domain,10,102,104,51.7,8.1E-14,1,CL0183,Eukaryota Fungi
A0A061HDL2,548,623,547,631,PF08447.12,PAS_3,Domain,2,81,89,39.3,6.1E-10,1,CL0183,Eukaryota Fungi
A0A061HDL2,662,709,656,737,PF13426.7,PAS_9,Domain,9,58,104,9.7,0.99,1,CL0183,Eukaryota Fungi
A0A061HDL2,869,902,869,904,PF00320.27,GATA,Domain,1,34,36,51.5,5.3E-14,1,CL0167,Eukaryota Fungi
A0A168CSD0,132,238,123,240,PF13426.7,LOV,Domain,7,102,104,60.1,2E-16,1,CL0183,Eukaryota Fungi
A0A168CSD0,328,407,327,410,PF08447.12,PAS_3,Domain,2,83,89,41.9,8.8E-11,1,CL0183,Eukaryota Fungi
A0A168CSD0,635,669,635,670,PF00320.27,GATA,Domain,1,35,36,49.4,2.4E-13,1,CL0167,Eukaryota Fungi
A0A0J0F099,302,395,291,396,PF13426.7,LOV,Domain,11,103,104,48.4,8.8E-13,1,CL0183,Eukaryota Fungi
A0A179G7M1,93,197,83,200,PF13426.7,LOV,Domain,8,100,104,58,8.9E-16,1,CL0183,Eukaryota Fungi
A0A0A2I144,290,385,281,386,PF13426.7,LOV,Domain,8,103,104,56.3,3.1E-15,1,CL0183,Eukaryota Fungi
A0A0M8P2F2,232,339,223,340,PF13426.7,LOV,Domain,5,103,104,71.9,4.4E-20,1,CL0183,Eukaryota Fungi
A0A0M8P2F2,430,508,429,513,PF08447.12,PAS_3,Domain,2,83,89,44.3,1.6E-11,1,CL0183,Eukaryota Fungi
A0A0M8P2F2,782,814,782,816,PF00320.27,GATA,Domain,1,33,36,51.3,6.2E-14,1,CL0167,Eukaryota Fungi
A0A179HVF4,92,195,83,198,PF13426.7,LOV,Domain,6,99,104,53.3,2.6E-14,1,CL0183,Eukaryota Fungi
A0A0J0CQK2,286,393,278,395,PF13426.7,LOV,Domain,6,102,104,55.3,6.3E-15,1,CL0183,Eukaryota Fungi
A0A0D1YJ14,377,491,375,492,PF13426.7,LOV,Domain,3,103,104,64.8,7.1E-18,1,CL0183,Eukaryota Fungi
A0A0D1YJ14,583,658,582,666,PF08447.12,PAS_3,Domain,2,81,89,44.1,1.9E-11,1,CL0183,Eukaryota Fungi
A0A0D1YJ14,697,743,693,778,PF13426.7,PAS_9,Domain,9,57,104,12.3,0.15,1,CL0183,Eukaryota Fungi
A0A0D1YJ14,927,958,927,959,PF00320.27,GATA,Domain,1,32,36,53.7,1.1E-14,1,CL0167,Eukaryota Fungi
A0A0G4M4V0,275,367,275,368,PF18808.1,Importin_rep_4,Repeat,1,89,90,107.3,3.7E-31,1,No_clan,Eukaryota Fungi
A0A0G4M4V0,383,437,383,437,PF13513.6,HEAT_EZ,Repeat,1,55,55,40.6,2.5E-10,1,CL0020,Eukaryota Fungi
A0A0G4M4V0,774,881,770,882,PF18829.1,Importin_rep_6,Repeat,6,107,108,47.4,1.7E-12,1,No_clan,Eukaryota Fungi
A0A0G4M4V0,1502,1610,1493,1611,PF13426.7,LOV,Domain,7,103,104,59.6,3E-16,1,CL0183,Eukaryota Fungi
A0A0G4M4V0,1703,1778,1702,1785,PF08447.12,PAS_3,Domain,2,81,89,44.3,1.7E-11,1,CL0183,Eukaryota Fungi
A0A0G4M4V0,1817,1876,1811,1891,PF13426.7,PAS_9,Domain,9,67,104,11.2,0.33,1,CL0183,Eukaryota Fungi
A0A0G4M4V0,2028,2061,2028,2063,PF00320.27,GATA,Domain,1,34,36,52.7,2.2E-14,1,CL0167,Eukaryota Fungi
A0A0L0UU24,451,555,450,556,PF13426.7,LOV,Domain,2,103,104,60.4,1.7E-16,1,CL0183,Eukaryota Fungi
A0A0L0UU24,742,864,739,864,PF13426.7,PAS_9,Domain,4,99,104,11.8,0.22,1,CL0183,Eukaryota Fungi
A0A0N8H771,87,179,75,186,PF13426.7,LOV,Domain,10,91,104,48.9,6E-13,1,CL0183,Eukaryota Fungi
A0A0D1XNU3,159,271,157,274,PF00615.19,RGS,Domain,4,113,118,37.6,2.2E-09,1,CL0272,Eukaryota Fungi
A0A0D1XNU3,292,391,291,397,PF13426.7,LOV,Domain,2,98,104,54.1,1.5E-14,1,CL0183,Eukaryota Fungi
A0A098DXU9,297,391,287,392,PF13426.7,LOV,Domain,10,103,104,47.1,2.3E-12,1,CL0183,Eukaryota Fungi
A0A0C9YIN8,223,337,213,337,PF13426.7,LOV,Domain,8,104,104,59.2,3.8E-16,1,CL0183,Eukaryota Fungi
A0A0C9YIN8,477,532,475,542,PF00989.25,PAS,Domain,6,64,113,23.4,0.000047,1,CL0183,Eukaryota Fungi
A0A0N0NJA1,303,405,300,406,PF13426.7,LOV,Domain,4,103,104,61.2,9.5E-17,1,CL0183,Eukaryota Fungi
A0A135SSB4,118,215,108,221,PF13426.7,LOV,Domain,8,94,104,56.9,2E-15,1,CL0183,Eukaryota Fungi
A0A024RZ27,107,198,98,204,PF13426.7,LOV,Domain,8,92,104,56.1,3.7E-15,1,CL0183,Eukaryota Fungi
A0A0D2E0Q3,279,374,270,375,PF13426.7,LOV,Domain,8,103,104,50.9,1.5E-13,1,CL0183,Eukaryota Fungi
A0A166IAP3,240,346,229,346,PF13426.7,LOV,Domain,10,104,104,63.4,1.9E-17,1,CL0183,Eukaryota Fungi
A0A166IAP3,432,513,430,525,PF08447.12,PAS_3,Domain,3,75,89,38.2,1.3E-09,1,CL0183,Eukaryota Fungi
A0A0D0YRP2,533,637,521,638,PF13426.7,LOV,Domain,10,103,104,57.3,1.5E-15,1,CL0183,Eukaryota Fungi
A0A0D0YRP2,728,809,726,816,PF08447.12,PAS_3,Domain,3,81,89,47.8,1.3E-12,1,CL0183,Eukaryota Fungi
A0A194SA05,270,372,267,373,PF13426.7,LOV,Domain,4,103,104,63.9,1.3E-17,1,CL0183,Eukaryota Fungi
A0A1B8AFA8,364,471,355,472,PF13426.7,LOV,Domain,7,103,104,64.2,1.1E-17,1,CL0183,Eukaryota Fungi
A0A1B8AFA8,564,639,563,647,PF08447.12,PAS_3,Domain,2,81,89,44.9,1E-11,1,CL0183,Eukaryota Fungi
A0A1B8AFA8,883,916,883,918,PF00320.27,GATA,Domain,1,34,36,53.9,9.8E-15,1,CL0167,Eukaryota Fungi
A0A061B9Q2,70,171,66,171,PF13426.7,LOV,Domain,5,103,104,51.9,7E-14,1,CL0183,Eukaryota Fungi
A0A0B7FLK1,119,231,116,233,PF13426.7,LOV,Domain,4,102,104,64,1.2E-17,1,CL0183,Eukaryota Fungi
A0A168DAH1,50,150,40,155,PF13426.7,LOV,Domain,7,98,104,60.3,1.8E-16,1,CL0183,Eukaryota Fungi
A0A194X9V4,123,236,121,240,PF00615.19,RGS,Domain,3,113,118,68.1,7.6E-19,1,CL0272,Eukaryota Fungi
A0A194X9V4,267,355,256,362,PF13426.7,LOV,Domain,9,97,104,50.1,2.6E-13,1,CL0183,Eukaryota Fungi
A0A177A0D5,526,638,523,640,PF13426.7,LOV,Domain,4,102,104,46.4,3.8E-12,1,CL0183,Eukaryota Fungi
A0A177A0D5,730,803,729,810,PF08447.12,PAS_3,Domain,2,75,89,54.5,1.1E-14,1,CL0183,Eukaryota Fungi
A0A0A2J5K6,271,379,263,380,PF13426.7,LOV,Domain,6,103,104,67.3,1.2E-18,1,CL0183,Eukaryota Fungi
A0A0A2J5K6,470,549,469,553,PF08447.12,PAS_3,Domain,2,84,89,45.5,6.7E-12,1,CL0183,Eukaryota Fungi
A0A0A2J5K6,825,857,825,859,PF00320.27,GATA,Domain,1,33,36,51.2,6.6E-14,1,CL0167,Eukaryota Fungi
A0A194VZD9,102,199,93,206,PF13426.7,LOV,Domain,7,93,104,54.6,1E-14,1,CL0183,Eukaryota Fungi
A0A0D9NKG8,94,199,84,201,PF13426.7,LOV,Domain,8,101,104,60.8,1.2E-16,1,CL0183,Eukaryota Fungi
A0A084RE26,94,196,85,200,PF13426.7,LOV,Domain,8,98,104,58.2,8.2E-16,1,CL0183,Eukaryota Fungi
A0A074YZ43,34,147,33,151,PF00615.19,RGS,Domain,2,112,118,46.7,3.3E-12,1,CL0272,Eukaryota Fungi
A0A074YZ43,179,272,168,274,PF13426.7,LOV,Domain,9,102,104,59.3,3.7E-16,1,CL0183,Eukaryota Fungi
A0A0C2ERG3,52,167,49,168,PF13426.7,LOV,Domain,4,103,104,57.7,1.2E-15,1,CL0183,Eukaryota Fungi
