seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
A0A0J6VGA8,62,156,52,157,PF13426.7,LOV,Domain,9,103,104,69.7,2.1E-19,1,CL0183,Bacteria Proteobacteria
A0A0J6VGA8,175,235,173,237,PF00512.25,HisKA,Domain,3,64,67,34,0.000000022,1,CL0025,Bacteria Proteobacteria
A0A0J6VGA8,280,402,279,405,PF02518.26,HATPase_c,Domain,2,109,112,49.2,6.5E-13,1,CL0025,Bacteria Proteobacteria
A0A0J6VGA8,427,537,427,538,PF00072.24,Response_reg,Domain,1,111,112,67.4,1.1E-18,1,CL0304,Bacteria Proteobacteria
A0A098T9D3,47,149,46,150,PF13426.7,LOV,Domain,2,103,104,61.8,6.1E-17,1,CL0183,Bacteria Proteobacteria
A0A098T9D3,162,308,162,311,PF00990.21,GGDEF,Domain,1,156,161,60,2.2E-16,1,CL0276,Bacteria Proteobacteria
A0A098T9D3,333,568,332,568,PF00563.20,EAL,Domain,2,238,238,230.3,2.3E-68,1,CL0276,Bacteria Proteobacteria
A0A1A5QBP4,47,145,39,145,PF13426.7,LOV,Domain,7,104,104,63.5,1.8E-17,1,CL0183,Bacteria Proteobacteria
A0A1A5QBP4,159,303,157,305,PF00990.21,GGDEF,Domain,3,157,161,73.2,2E-20,1,CL0276,Bacteria Proteobacteria
A0A1A5QBP4,328,562,326,562,PF00563.20,EAL,Domain,3,238,238,223.3,3.1E-66,1,CL0276,Bacteria Proteobacteria
A0A068N046,112,258,112,258,PF01590.26,GAF,Domain,1,133,133,26,0.000012,1,CL0161,Bacteria Cyanobacteria
A0A068N046,279,387,278,387,PF13426.7,LOV,Domain,2,104,104,70,1.7E-19,1,CL0183,Bacteria Cyanobacteria
A0A068N046,411,493,410,493,PF13426.7,PAS_9,Domain,2,104,104,25.9,0.0000088,1,CL0183,Bacteria Cyanobacteria
A0A068N046,517,627,516,627,PF13426.7,PAS_9,Domain,2,104,104,42.9,4.6E-11,1,CL0183,Bacteria Cyanobacteria
A0A068N046,664,749,663,750,PF08447.12,PAS_3,Domain,2,88,89,47.2,2E-12,1,CL0183,Bacteria Cyanobacteria
A0A068N046,767,924,767,925,PF00990.21,GGDEF,Domain,1,160,161,169.8,3.7E-50,1,CL0276,Bacteria Cyanobacteria
