,seq id,alignment start,alignment end,envelope start,envelope end,hmm acc,hmm name,type,hmm start,hmm end,hmm length,bit score,E-value,significance,clan,kingdom
0,A0A1G8UUF8,116,197,113,197,PF08447.12,PAS_3,Domain,6,89,89,55.3,6.1e-15,1,CL0183,Archaea Euryarchaeota
1,A0A1G8UUF8,238,323,237,324,PF08447.12,PAS_3,Domain,2,88,89,57.3,1.5e-15,1,CL0183,Archaea Euryarchaeota
2,A0A1G8UUF8,348,455,348,457,PF08448.10,PAS_4,Domain,1,108,110,55.0,8.5e-15,1,CL0183,Archaea Euryarchaeota
3,A0A1G8UUF8,484,553,482,563,PF08447.12,PAS_3,Domain,3,73,89,63.8,1.3e-17,1,CL0183,Archaea Euryarchaeota
4,A0A1G8UUF8,592,698,592,698,PF13426.7,PAS_9,Domain,1,104,104,69.2,3e-19,1,CL0183,Archaea Euryarchaeota
5,A0A1G8UUF8,902,1036,899,1039,PF13185.6,GAF_2,Domain,4,132,138,38.7,1.1e-09,1,CL0161,Archaea Euryarchaeota
6,A0A1G8UUF8,1055,1197,1053,1203,PF15915.5,BAT,Domain,3,148,156,75.1,5.6e-21,1,No_clan,Archaea Euryarchaeota
7,A0A1G8UUF8,1208,1260,1208,1260,PF04967.12,HTH_10,Domain,1,53,53,67.3,7.5e-19,1,CL0123,Archaea Euryarchaeota
8,A0A1I6GZI2,187,291,182,291,PF08448.10,PAS_4,Domain,6,110,110,55.2,7.4e-15,1,CL0183,Archaea Euryarchaeota
9,A0A1I6GZI2,309,413,307,413,PF13426.7,PAS_9,Domain,3,104,104,80.6,8.2e-23,1,CL0183,Archaea Euryarchaeota
10,A0A1I6GZI2,529,630,527,633,PF02518.26,HATPase_c,Domain,5,109,112,49.8,4.1e-13,1,CL0025,Archaea Euryarchaeota
11,A0A1I7IIR4,64,259,64,260,PF03924.13,CHASE,Domain,1,187,188,118.1,4.4e-34,1,CL0165,Bacteria Proteobacteria
12,A0A1I7IIR4,373,476,371,476,PF13426.7,PAS_9,Domain,3,104,104,72.0,4.1e-20,1,CL0183,Bacteria Proteobacteria
13,A0A1I7IIR4,488,645,488,646,PF00990.21,GGDEF,Domain,1,160,161,140.4,4.3e-41,1,CL0276,Bacteria Proteobacteria
14,A0A1I7IIR4,666,901,665,901,PF00563.20,EAL,Domain,2,238,238,270.8,9.3e-81,1,CL0276,Bacteria Proteobacteria
15,A0A1J1J9L8,65,182,63,186,PF01590.26,GAF,Domain,10,129,133,33.1,7.4e-08,1,CL0161,Bacteria Cyanobacteria
16,A0A1J1J9L8,234,356,231,356,PF13426.7,PAS_9,Domain,4,104,104,39.5,5.2e-10,1,CL0183,Bacteria Cyanobacteria
17,A0A1J1J9L8,376,481,375,481,PF13426.7,PAS_9,Domain,2,104,104,94.7,3.4e-27,1,CL0183,Bacteria Cyanobacteria
18,A0A1J1J9L8,517,594,516,602,PF08447.12,PAS_3,Domain,2,81,89,69.2,2.7e-19,1,CL0183,Bacteria Cyanobacteria
19,A0A1J1J9L8,778,923,778,923,PF01590.26,GAF,Domain,1,133,133,42.0,1.3e-10,1,CL0161,Bacteria Cyanobacteria
20,A0A1J1J9L8,968,1064,968,1065,PF00512.25,HisKA,Domain,1,66,67,51.3,9e-14,1,CL0025,Bacteria Cyanobacteria
21,A0A1J1J9L8,1113,1232,1111,1235,PF02518.26,HATPase_c,Domain,4,109,112,61.2,1.2e-16,1,CL0025,Bacteria Cyanobacteria
22,A0A1H1QY27,11,112,10,124,PF00072.24,Response_reg,Domain,2,101,112,35.2,1.1e-08,1,CL0304,Bacteria Proteobacteria
23,A0A1H1QY27,156,260,155,260,PF13426.7,PAS_9,Domain,3,104,104,72.1,3.6e-20,1,CL0183,Bacteria Proteobacteria
24,A0A1H1QY27,272,429,272,429,PF00990.21,GGDEF,Domain,1,161,161,172.6,5.1e-51,1,CL0276,Bacteria Proteobacteria
25,A0A1H1QY27,449,684,448,684,PF00563.20,EAL,Domain,2,238,238,246.6,2.4e-73,1,CL0276,Bacteria Proteobacteria
26,A0A1Z4GJZ6,134,211,109,223,PF03924.13,CHASE,Domain,81,176,188,28.6,1.2e-06,1,CL0165,Bacteria Cyanobacteria
27,A0A1Z4GJZ6,343,427,342,428,PF08447.12,PAS_3,Domain,2,88,89,54.6,9.7e-15,1,CL0183,Bacteria Cyanobacteria
28,A0A1Z4GJZ6,453,558,452,558,PF13426.7,PAS_9,Domain,2,104,104,71.2,7e-20,1,CL0183,Bacteria Cyanobacteria
29,A0A1Z4GJZ6,578,680,578,680,PF13426.7,PAS_9,Domain,2,104,104,54.3,1.3e-14,1,CL0183,Bacteria Cyanobacteria
30,A0A1Z4GJZ6,712,853,710,853,PF01590.26,GAF,Domain,3,133,133,52.6,7e-14,1,CL0161,Bacteria Cyanobacteria
31,A0A1Z4GJZ6,889,954,889,954,PF00512.25,HisKA,Domain,1,67,67,72.8,1.7e-20,1,CL0025,Bacteria Cyanobacteria
32,A0A1Z4GJZ6,1001,1138,1001,1142,PF02518.26,HATPase_c,Domain,1,108,112,90.6,8.7e-26,1,CL0025,Bacteria Cyanobacteria
33,A0A1Z4GJZ6,1164,1273,1163,1276,PF00072.24,Response_reg,Domain,2,109,112,53.2,2.8e-14,1,CL0304,Bacteria Cyanobacteria
34,A0A1Z4GJZ6,1308,1420,1308,1421,PF00072.24,Response_reg,Domain,1,111,112,86.9,9.9e-25,1,CL0304,Bacteria Cyanobacteria
35,A0A1Z4GJZ6,1475,1557,1475,1558,PF01627.23,Hpt,Family,1,84,85,49.5,3.9e-13,1,No_clan,Bacteria Cyanobacteria
36,A0A1Q4GB28,35,139,34,139,PF13426.7,PAS_9,Domain,3,104,104,80.3,1.1e-22,1,CL0183,Bacteria Bacteroidetes
37,A0A1Q4GB28,184,285,180,285,PF13426.7,PAS_9,Domain,5,104,104,19.3,0.001,1,CL0183,Bacteria Bacteroidetes
